HouseID,Street,City,State,Zip,Lat,Lon,TotalPrice
1,5011 40th street,Lubbock,Texas,79414,33.557728,-101.9179993,10062
2,5106 73rd street,Lubbock,Texas,79424,33.527736,-101.9219971,21385
3,5428 49th Street,Lubbock,Texas,79414,33.550097,-101.9280014,94668
4,110 N Uvalde Ave,Lubbock,Texas,79415,33.576406,-101.9840012,40320
5,1514 24th Street,Lubbock,Texas,79411,33.573573,-101.8519974,45968
6,2129 E 30th street,Lubbock,Texas,79404,33.570291,-101.8160019,25920
7,2008 24th Street,Lubbock,Texas,79411,33.573027,-101.8600006,37576
8,1933 E Colgate street,Lubbock,Texas,79403,33.602593,-101.8099976,37990
9,1313 Kemper Street,Lubbock,Texas,79403,33.611882,-101.848999,56490
10,312 E 34th Street,Lubbock,Texas,79404,33.563235,-101.8330002,31080
11,9620 Durham Ave,Lubbock,Texas,79424,33.505469,-101.9349976,35010
12,1605 39th Street,Lubbock,Texas,79412,33.558657,-101.8529968,41540
13,4302 E 64th Street,Lubbock,Texas,79403,33.53663,-101.9039993,49414
14,1925 22nd Street,Lubbock,Texas,79411,33.574674,-101.8590012,85748
15,2812 66th Street,Lubbock,Texas,79413,33.534346,-101.8759995,54390
16,2112 E 30th Street,Lubbock,Texas,79404,33.566913,-101.8130035,33696
17,2707 39th Street,Lubbock,Texas,79413,33.558561,-101.8759995,64620
18,2105 Cedar Ave,Lubbock,Texas,79404,33.575475,-101.8330002,40508
19,1910 21st Street,Lubbock,Texas,79411,33.575918,-101.8580017,71288
20,1923 25th Street,Lubbock,Texas,79411,33.57189,-101.8580017,67860
21,1610 39th Street,Lubbock,Texas,79412,33.559089,-101.8539963,65130
22,2319 48th Street,Lubbock,Texas,79412,33.550488,-101.8659973,58266
23,2703 66th Street,Lubbock,Texas,79413,33.534047,-101.8720016,57915
24,2011 64th Street,Lubbock,Texas,79412,33.536938,-101.8600006,75426
25,3111 40th Street,Lubbock,Texas,79413,33.557603,-101.8830032,176826
26,1316 E 17th Street,Lubbock,Texas,79403,33.579661,-101.8219986,32640
27,408 39th Street,Lubbock,Texas,79404,33.558831,-101.8399963,29120
28,4014 37th Street,Lubbock,Texas,79413,33.56076,-101.9000015,57720
29,1401 24th Place,Lubbock,Texas,79411,33.572151,-101.8499985,52029
30,2109 35th Street,Lubbock,Texas,79412,33.562181,-101.862999,84050
31,2118 24th Street,Lubbock,Texas,79411,33.573028,-101.8610001,65520
32,1716 27th Street,Lubbock,Texas,79411,33.57038,-101.8570023,138852
33,1308 58th Place,Lubbock,Texas,79412,33.540981,-101.8499985,90300
34,5122 38th Street,Lubbock,Texas,79414,33.559724,-101.9209976,63640
35,2107 37th Street,Lubbock,Texas,79412,33.560372,-101.862999,47608
36,6602 26th Street,Lubbock,Texas,79407,33.570852,-101.9589996,93280
37,3430 Fordham Street,Lubbock,Texas,79415,33.608091,-101.8909988,75690
38,218 N Boston Ave,Lubbock,Texas,79415,33.600889,-101.8740005,52920
39,1512 E 14th Street,Lubbock,Texas,79403,33.582668,-101.8190002,60390
40,2221 20th Street,Lubbock,Texas,79411,33.576693,-101.862999,71910
41,2204 35th Street,Lubbock,Texas,79412,33.562673,-101.8639984,69030
42,2206 35th Street,Lubbock,Texas,79412,33.562672,-101.8639984,69030
43,4104 31st Street,Lubbock,Texas,79410,33.566078,-101.901001,69660
44,3608 Knoxville Dr,Lubbock,Texas,79423,33.5153,-101.8830032,124200
45,0 N Ash,Lubbock,Texas,79403,33.603447,-101.8150024,79856
46,2122 65th Street,Lubbock,Texas,79412,33.535936,-101.8639984,104190
47,6116 Avenue P,Lubbock,Texas,79412,33.537027,-101.8529968,45540
48,3808 27th Street,Lubbock,Texas,79410,33.569828,-101.8970032,148856
49,2607 48th Street,Lubbock,Texas,79413,33.550429,-101.8730011,98072
50,2210 35th Street,Lubbock,Texas,79412,33.562673,-101.8649979,69654
51,2203 37th Street,Lubbock,Texas,79412,33.560373,-101.8639984,56212
52,2033 63rd Street,Lubbock,Texas,79412,33.538093,-101.8600006,56071
53,1306 59th Street,Lubbock,Texas,79412,33.540162,-101.8499985,89817
54,4612 38th Street,Lubbock,Texas,79414,33.559927,-101.9110031,71816
55,5531 18th Street,Lubbock,Texas,79416,33.578776,-101.9339981,84694
56,1918 23rd Street,Lubbock,Texas,79411,33.574232,-101.8590012,78048
57,1308 28th Street,Lubbock,Texas,79411,33.568893,-101.848999,44064
58,2017 65th Street,Lubbock,Texas,79412,33.536155,-101.8610001,39744
59,1926 70th Street,Lubbock,Texas,79412,33.531263,-101.8580017,74880
60,3310 Amherst Street,Lubbock,Texas,79415,33.598967,-101.887001,89856
61,2605 48th Street,Lubbock,Texas,79413,33.550429,-101.8730011,94320
62,4502 45th Street,Lubbock,Texas,79414,33.55362,-101.9069977,51120
63,2330 57th Street,Lubbock,Texas,79412,33.542738,-101.8700027,135877
64,3506 Bangor Dr,Lubbock,Texas,79407,33.561307,-101.9290009,79380
65,4914 49th Street,Lubbock,Texas,79414,33.550084,-101.9169998,93296
66,2010 47th Street,Lubbock,Texas,79412,33.551803,-101.8610001,62450
67,2111 68th Street,Lubbock,Texas,79412,33.532419,-101.862999,126100
68,519 46th Street,Lubbock,Texas,79404,33.552203,-101.8420029,53100
69,3101 54th Street,Lubbock,Texas,79412,33.54512,-101.8550034,109150
70,3807 36th Street,Lubbock,Texas,79413,33.561271,-101.8970032,71150
71,3609 43rd Street,Lubbock,Texas,79413,33.555,-101.8929977,113000
72,1525 29th Street,Lubbock,Texas,79411,33.567372,-101.8529968,55080
73,2121 S Loop 289,Lubbock,Texas,79423,33.528795,-101.8639984,95268
74,2123 S Loop 289,Lubbock,Texas,79423,33.528795,-101.8639984,95268
75,7604 Avenue V,Lubbock,Texas,79423,33.525436,-101.8639984,87669
76,914 82nd Street,Lubbock,Texas,79423,33.520179,-101.8460007,95064
77,320 77th Street,Lubbock,Texas,79404,33.525051,-101.8399963,89964
78,7409 Fir Ave,Lubbock,Texas,79404,33.525328,-101.8300018,75276
79,3413 31st Street,Lubbock,Texas,79410,33.565903,-101.8880005,122094
80,4825 11th Street,Lubbock,Texas,79416,33.586041,-101.9150009,118167
81,6110 37th Street,Lubbock,Texas,79407,33.560424,-101.9489975,91188
82,214 Avenue U,Lubbock,Texas,79415,33.595133,-101.8619995,47632
83,1904 36th Street,Lubbock,Texas,79412,33.561777,-101.8580017,68744
84,3612 Avenue R,Lubbock,Texas,79412,33.560712,-101.8570023,38636
85,2202 58th Street,Lubbock,Texas,79412,33.541832,-101.8639984,134836
86,2704 57th Street,Lubbock,Texas,79413,33.542399,-101.8740005,118664
87,2829 66th Street,Lubbock,Texas,79413,33.534165,-101.8759995,90064
88,1303 65th Street,Lubbock,Texas,79412,33.535142,-101.848999,59488
89,311 77th Street,Lubbock,Texas,79404,33.524542,-101.8389969,75608
90,5114 47th Street,Lubbock,Texas,79414,33.551843,-101.9219971,80236
91,4705 58th Street,Lubbock,Texas,79414,33.541323,-101.9120026,155480
92,2120 17th Street,Lubbock,Texas,79401,33.579242,-101.8570023,86337
93,2209 25th Street,Lubbock,Texas,79411,33.571883,-101.862999,55756
94,2104 52nd Street,Lubbock,Texas,79412,33.54727,-101.8619995,119197
95,1930 73rd Street,Lubbock,Texas,79423,33.528449,-101.8610001,69271
96,307 46th Street,Lubbock,Texas,79404,33.552219,-101.8389969,70490
97,3629 59th Street,Lubbock,Texas,79413,33.540425,-101.8949966,129108
98,6102 Avenue S,Lubbock,Texas,79412,33.536526,-101.8570023,99900
99,5608 15th Street,Lubbock,Texas,79416,33.583311,-101.9329987,79380
100,4110 32nd Street,Lubbock,Texas,79410,33.565324,-101.9020004,73656
101,4232 37th Street,Lubbock,Texas,79413,33.560521,-101.9020004,69444
102,6108 24th Street,Lubbock,Texas,79407,33.572857,-101.9489975,47736
103,4914 47th Street,Lubbock,Texas,79414,33.551843,-101.9169998,90396
104,2118 25th St,Lubbock,Texas,79411,33.572312,-101.8619995,89650
105,2114 54th St,Lubbock,Texas,79412,33.545457,-101.8639984,138270
106,2521 53rd St,Lubbock,Texas,79413,33.541916,-101.8730011,157685
107,1605 57th St,Lubbock,Texas,79412,33.542241,-101.8539963,113080
108,3001 66th St,Lubbock,Texas,79413,33.534033,-101.8789978,138325
109,2617 Colgate St,Lubbock,Texas,79415,33.602268,-101.8730011,53312
110,5615 13th St,Lubbock,Texas,79416,33.584826,-101.9339981,130928
111,1909 29th St,Lubbock,Texas,79411,33.567934,-101.8580017,174705
112,1716 28th St,Lubbock,Texas,79411,33.569186,-101.8560028,59337
113,2824 57th St,Lubbock,Texas,79413,33.542523,-101.8789978,99636
114,5910 16th St,Lubbock,Texas,79416,33.581814,-101.9459991,83049
116,3005 36th St,Lubbock,Texas,79413,33.561269,-101.8799973,154014
117,2512 39th St,Lubbock,Texas,79413,33.559059,-101.8720016,98496
118,8208 Jordan Ave,Lubbock,Texas,79423,33.518974,-101.8919983,89490
119,5115 2nd Street UNIT 8,Lubbock,Texas,79416,33.594068,-101.9219971,165186
120,3629 59th St,Lubbock,Texas,79413,33.540425,-101.8949966,138852
122,2117 57th St,Lubbock,Texas,79412,33.542233,-101.862999,83578
123,2305 56th St,Lubbock,Texas,79412,33.543141,-101.8669968,135952
124,2003 La Salle Ave,Lubbock,Texas,79407,33.576336,-101.9540024,69600
125,4119 30th St,Lubbock,Texas,79410,33.566624,-101.9029999,96860
126,5121 37th St,Lubbock,Texas,79414,33.560449,-101.9209976,59856
127,3403 Fordham St,Lubbock,Texas,79415,33.60761,-101.8880005,82600
128,3307 Duke St,Lubbock,Texas,79415,33.60478,-101.887001,60003
129,2304 14th St,Lubbock,Texas,79401,33.582688,-101.8659973,94400
130,2012 52nd St,Lubbock,Texas,79412,33.547268,-101.8610001,115581
132,4402 33rd St,Lubbock,Texas,79410,33.564508,-101.9049988,72098
133,6903 Gary Ave,Lubbock,Texas,79413,33.531238,-101.8830032,226088
134,5231 15th St,Lubbock,Texas,79416,33.582167,-101.9260025,126850
135,4917 46th St,Lubbock,Texas,79414,33.552224,-101.9179993,98707
136,6110 36th St,Lubbock,Texas,79407,33.561742,-101.9489975,82364
137,3104 Harvard St,Lubbock,Texas,79415,33.609893,-101.8830032,66540
138,1908 43rd St,Lubbock,Texas,79412,33.555208,-101.8580017,46800
139,8803 Vernon Ave,Lubbock,Texas,79423,33.514572,-101.8639984,74640
140,4004 26th St,Lubbock,Texas,79410,33.570712,-101.8990021,87780
141,4512 38th St,Lubbock,Texas,79414,33.559677,-101.9079971,73920
142,3110 40th St,Lubbock,Texas,79413,33.557923,-101.8809967,78420
143,2713 37th St,Lubbock,Texas,79413,33.560375,-101.8759995,110520
144,2721 41st St,Lubbock,Texas,79413,33.556744,-101.8769989,85320
145,2504 42nd St,Lubbock,Texas,79413,33.556338,-101.8710022,62760
146,4304 Chicago Ave,Lubbock,Texas,79414,33.554833,-101.9309998,59160
147,4314 45th St,Lubbock,Texas,79413,33.55362,-101.9039993,109080
148,4208 43rd St,Lubbock,Texas,79413,33.555472,-101.9020004,75360
149,2504 56th St,Lubbock,Texas,79413,33.543451,-101.8710022,156840
150,2212 20th St,Lubbock,Texas,79411,33.577137,-101.8639984,99552
151,2108 26th St,Lubbock,Texas,79411,33.571102,-101.8610001,60268
152,2723 61st St,Lubbock,Texas,79413,33.538382,-101.8740005,129320
153,2821 23rd St,Lubbock,Texas,79410,33.573379,-101.8779984,191296
154,2707 35th St,Lubbock,Texas,79413,33.56216,-101.8759995,99857
155,3306 54th St,Lubbock,Texas,79413,33.545418,-101.887001,188612
156,8406 Wayne Ave,Lubbock,Texas,79424,33.51688,-101.9169998,62830
157,4817 38th St,Lubbock,Texas,79414,33.559463,-101.9150009,55083
158,2319 Ash Ave,Lubbock,Texas,79404,33.574049,-101.8359985,51832
159,504 81st St,Lubbock,Texas,79404,33.521093,-101.8410034,54064
160,5408 Harvard St,Lubbock,Texas,79416,33.610241,-101.9300003,169384
161,3512 23rd St,Lubbock,Texas,79410,33.57326,-101.8899994,99820
162,3315 37th St,Lubbock,Texas,79413,33.560377,-101.887001,112220
163,4315 41st St,Lubbock,Texas,79413,33.556791,-101.9029999,96596
164,4610 Indiana Ave,Lubbock,Texas,79413,33.551731,-101.8880005,178560
165,5325 33rd St,Lubbock,Texas,79407,33.564519,-101.9260025,90210
166,3106 59th St,Lubbock,Texas,79413,33.54081,-101.8820038,179928
167,4013 31st St,Lubbock,Texas,79410,33.565727,-101.9000015,95571
168,4009 39th St,Lubbock,Texas,79413,33.558576,-101.8990021,92862
169,4434 28th St,Lubbock,Texas,79410,33.568842,-101.9059982,99288
170,3314 43rd St,Lubbock,Texas,79413,33.55544,-101.887001,155043
171,3120 58th St,Lubbock,Texas,79413,33.541825,-101.8830032,116361
172,4910 79th St,Lubbock,Texas,79424,33.523265,-101.9160004,196497
173,4635 30th St,Lubbock,Texas,79410,33.566782,-101.9140015,251811
174,5006 35th St,Lubbock,Texas,79414,33.562418,-101.9179993,64890
175,4304 59th St,Lubbock,Texas,79413,33.540686,-101.9029999,124866
176,4501 49th St,Lubbock,Texas,79414,33.549662,-101.9069977,114975
177,5512 37th St,Lubbock,Texas,79407,33.561142,-101.9319992,102186
178,7604 Canton Ave,Lubbock,Texas,79423,33.525334,-101.8759995,196992
179,3811 35th St,Lubbock,Texas,79413,33.562155,-101.8980026,104256
180,4605 32nd St,Lubbock,Texas,79410,33.564912,-101.9089966,75200
181,3107 48th St,Lubbock,Texas,79413,33.550396,-101.8820038,112256
182,3609 78th Dr,Lubbock,Texas,79423,33.524939,-101.8929977,198976
183,4702 45th St,Lubbock,Texas,79414,33.553381,-101.9120026,94720
185,2821 78th St,Lubbock,Texas,79423,33.523192,-101.8789978,136890
186,3806 28th St,Lubbock,Texas,79410,33.568927,-101.8970032,85540
187,3808 37th St,Lubbock,Texas,79413,33.560879,-101.8970032,88075
188,2411 35th St,Lubbock,Texas,79412,33.562183,-101.8690033,72800
189,5712 36th St,Lubbock,Texas,79407,33.561728,-101.935997,115765
190,5763 38th St,Lubbock,Texas,79407,33.559162,-101.939003,105430
191,5035 52nd St,Lubbock,Texas,79414,33.546707,-101.9219971,88725
192,4818 52nd St,Lubbock,Texas,79414,33.546864,-101.9140015,82940
193,4110 63rd St,Lubbock,Texas,79413,33.537495,-101.9029999,161005
195,2020 47th St,Lubbock,Texas,79412,33.551804,-101.8619995,57222
196,2106 84th St,Lubbock,Texas,79423,33.518364,-101.8619995,73260
197,5511 8th Pl,Lubbock,Texas,79416,33.588282,-101.9309998,90486
198,3207 19th St,Lubbock,Texas,79410,33.577515,-101.8840027,422994
199,3410 30th St,Lubbock,Texas,79410,33.567126,-101.8889999,97350
200,3304 46th St,Lubbock,Texas,79413,33.552709,-101.8860016,148962
201,2618 42nd St,Lubbock,Texas,79413,33.556345,-101.8740005,70092
202,4614 Erskine St,Lubbock,Texas,79416,33.606903,-101.9089966,64812
203,5012 70th St,Lubbock,Texas,79424,33.530526,-101.9189987,165000
204,1331 49th St,Lubbock,Texas,79412,33.549852,-101.8519974,78993
205,1623 County Road 7245,Lubbock,Texas,79423,33.496769,-101.8590012,48776
206,5526 Harvard St,Lubbock,Texas,79416,33.610063,-101.9339981,84420
207,505 N Englewood Ave,Lubbock,Texas,79416,33.605422,-101.9369965,107669
208,5738 2nd St,Lubbock,Texas,79416,33.597338,-101.939003,97820
209,3406 54th St,Lubbock,Texas,79413,33.545461,-101.8880005,134201
210,3316 79th St,Lubbock,Texas,79423,33.52287,-101.8860016,123950
211,5208 8th St,Lubbock,Texas,79416,33.588558,-101.9229965,130382
212,4314 63rd St,Lubbock,Texas,79413,33.537506,-101.9049988,107468
213,4817 54th St,Lubbock,Texas,79414,33.544939,-101.9150009,105190
214,5029 52nd St,Lubbock,Texas,79414,33.546707,-101.9209976,91857
215,4314 63rd St,Lubbock,Texas,79413,33.537506,-101.9049988,107468
216,8425 Wayne Ave,Lubbock,Texas,79424,33.515063,-101.9169998,212189
217,6801 85th St,Lubbock,Texas,79424,33.516315,-101.9639969,155507
218,5712 78th St,Lubbock,Texas,79424,33.523516,-101.9369965,199191
219,2004 49th St,Lubbock,Texas,79412,33.549793,-101.8600006,54196
220,2206 49th St,Lubbock,Texas,79412,33.550009,-101.8639984,88740
221,5808 15th St,Lubbock,Texas,79416,33.581596,-101.9430008,85544
222,3405 35th St,Lubbock,Texas,79413,33.562175,-101.8880005,83096
223,4002 37th St,Lubbock,Texas,79413,33.560822,-101.8990021,105400
224,4822 12th St,Lubbock,Texas,79416,33.585567,-101.9169998,103224
225,5302 43rd St,Lubbock,Texas,79414,33.555476,-101.9250031,125528
226,7916 Albany Ave,Lubbock,Texas,79424,33.520547,-101.927002,188156
227,2504 55th St,Lubbock,Texas,79413,33.544359,-101.8710022,162840
228,310 N Chicago Ave,Lubbock,Texas,79416,33.603126,-101.9309998,178572
229,2520 36th St,Lubbock,Texas,79413,33.561552,-101.8710022,69759
230,3305 55th St,Lubbock,Texas,79413,33.544445,-101.8850021,184506
231,4414 47th St,Lubbock,Texas,79414,33.551603,-101.9049988,65205
232,5603 87th Pl,Lubbock,Texas,79424,33.5138,-101.9339981,112263
233,5201 87th St,Lubbock,Texas,79424,33.514299,-101.9229965,149868
237,2122 31st St,Lubbock,Texas,79411,33.566536,-101.862999,70000
238,2111 74th St,Lubbock,Texas,79423,33.527244,-101.862999,96040
239,2526 69th St,Lubbock,Texas,79413,33.532395,-101.8740005,135240
240,4434 Jarvis Street UNIT 1,Lubbock,Texas,79416,33.611319,-101.9089966,85540
241,6412 13th St,Lubbock,Texas,79416,33.584264,-101.9570007,153510
242,3506 23rd St,Lubbock,Texas,79410,33.57326,-101.8899994,84910
243,8211 Geneva Ave,Lubbock,Texas,79423,33.518704,-101.8830032,103950
244,8601 Memphis Dr,Lubbock,Texas,79423,33.51329,-101.8949966,52220
245,5318 45th St,Lubbock,Texas,79414,33.553762,-101.9260025,84700
246,4714 45th St,Lubbock,Texas,79414,33.553624,-101.913002,92540
247,5606 70th St,Lubbock,Texas,79424,33.531079,-101.9349976,160510
248,2714 79th St,Lubbock,Texas,79423,33.522789,-101.8759995,109411
249,3503 24th St,Lubbock,Texas,79410,33.572198,-101.8899994,63900
250,3517 39th St,Lubbock,Texas,79413,33.558563,-101.8919983,154425
251,2506 43rd St,Lubbock,Texas,79413,33.555431,-101.8710022,64752
252,3504 57th St,Lubbock,Texas,79413,33.54274,-101.8909988,137385
253,7410 Raleigh Ave,Lubbock,Texas,79424,33.526115,-101.9089966,150804
254,4610 55th Dr,Lubbock,Texas,79414,33.544196,-101.9110031,115588
255,4420 78th St,Lubbock,Texas,79424,33.52331,-101.9069977,179559
256,9619 Dover Ave,Lubbock,Texas,79424,33.505469,-101.9339981,103518
257,2114 28th St,Lubbock,Texas,79411,33.569182,-101.8610001,75024
258,6109 Lynnhaven Dr,Lubbock,Texas,79413,33.538022,-101.8949966,191664
259,4420 76th St,Lubbock,Texas,79424,33.525175,-101.9069977,131256
260,4420 78th St,Lubbock,Texas,79424,33.52331,-101.9069977,182088
261,7003 Winston Ave,Lubbock,Texas,79424,33.529988,-101.9179993,109872
262,8404 Utica Ave,Lubbock,Texas,79424,33.517146,-101.9140015,281448
263,9001 Lynnhaven Ave,Lubbock,Texas,79423,33.512504,-101.8939972,140400
264,4909 17th Pl,Lubbock,Texas,79416,33.58073,-101.9189987,139536
265,6011 Oxford Ave,Lubbock,Texas,79413,33.538532,-101.901001,152208
266,4116 18th St,Lubbock,Texas,79416,33.579474,-101.901001,98928
267,3405 60th St,Lubbock,Texas,79413,33.53953,-101.8889999,149616
268,3314 78th St,Lubbock,Texas,79423,33.523666,-101.887001,195336
269,7006 Memphis Ave,Lubbock,Texas,79413,33.530457,-101.8970032,163739
270,3416 94th St,Lubbock,Texas,79423,33.509653,-101.8899994,178485
271,5109 73rd St,Lubbock,Texas,79424,33.527279,-101.9209976,101835
272,5012 70th St,Lubbock,Texas,79424,33.530526,-101.9189987,182500
273,5109 73rd St,Lubbock,Texas,79424,33.527279,-101.9209976,101835
274,2511 Loyola St,Lubbock,Texas,79415,33.564521,-101.8479996,199726
275,5017 Itasca St,Lubbock,Texas,79416,33.609718,-101.9179993,189810
276,2610 27th St,Lubbock,Texas,79410,33.569709,-101.8730011,125504
277,2718 86th St,Lubbock,Texas,79423,33.516552,-101.875,142598
278,5003 60th St,Lubbock,Texas,79414,33.539505,-101.9179993,92944
279,4712 81st St,Lubbock,Texas,79424,33.521846,-101.913002,170570
280,5411 92nd St,Lubbock,Texas,79424,33.510057,-101.9290009,119880
281,2720 58th St,Lubbock,Texas,79413,33.541217,-101.8740005,180000
282,2802 74th Place,Lubbock,Texas,79423,33.526898,-101.8759995,126375
283,5542 1st Place,Lubbock,Texas,79416,33.597342,-101.9349976,108750
284,6116 10th St,Lubbock,Texas,79416,33.586782,-101.9489975,122400
285,2315 Ithaca Ave,Lubbock,Texas,79410,33.572886,-101.8889999,90000
286,3304 76th St,Lubbock,Texas,79423,33.525276,-101.8860016,218925
287,2411 93rd St,Lubbock,Texas,79423,33.510227,-101.8700027,129300
288,2302 Slide Rd,Lubbock,Texas,79407,33.563139,-101.947998,114825
289,4818 46th St,Lubbock,Texas,79414,33.552719,-101.9160004,107775
290,4513 52nd St,Lubbock,Texas,79414,33.546749,-101.9089966,111975
291,3304 76th St,Lubbock,Texas,79423,33.525276,-101.8860016,218925
292,5235 84th St,Lubbock,Texas,79424,33.51679,-101.9250031,124725
293,1613 76th St,Lubbock,Texas,79423,33.525295,-101.8539963,123272
294,2326 91st St,Lubbock,Texas,79423,33.512344,-101.8679962,87552
